person_id,page_number,occupation,entry_type,occupation_norm_proposed,age,sex,family_status_norm,comments
P000208,40,,blank,,6,Женский,Незаконнорожденная дочь,205
P000209,40,,blank,,55,Мужской,Хозяин,
P000210,40,,blank,,55,Женский,Жена,
P000211,40,,blank,,28,Мужской,Сын,
P000212,40,,blank,,27,Женский,Жена,
P000213,40,,blank,,45,Мужской,Жилец,
P000214,40,,blank,,37,Женский,Хозяйка,
P000215,40,,blank,,10,Женский,Незаконнорожденная дочь,204
P000216,40,,blank,,6,Женский,Дочь,
P000217,40,,blank,,4,Женский,Дочь,
P000218,40,,blank,,1,Женский,Дочь,
P000220,40,,blank,,40,Женский,Сожительница,
P000224,41,,blank,,45,Женский,Жена,
P000225,41,,blank,,5,Мужской,Сын,
P000226,41,,blank,,11,Мужской,Сын,
P000227,41,,blank,,7,Мужской,Сын,
P000228,41,,blank,,30,Женский,Жилица,Муж ссыльнокаторжный работник на дороге
P000229,41,,blank,,37,Мужской,Работник,Нижний Армудан
P000234,41,,blank,,49,Женский,Жена,
P000235,41,,blank,,13,Женский,Дочь,
P000236,41,,blank,,10,Женский,Дочь,
P000237,41,,blank,,5,Женский,Дочь,
P000238,41,,blank,,3,Мужской,Сын,
P000240,41,,blank,,23,Женский,Сожительница,
P000242,42,,blank,,40,Мужской,Хозяин,
P000243,42,,blank,,36,Женский,Жена,
P000244,42,,blank,,30,Мужской,Хозяин,
P000245,42,,blank,,0,Мужской,Сын,
P000246,42,,blank,,29,Мужской,Жилец,
P000247,42,,blank,,40,Женский,Сожительница,
P000249,42,,blank,,35,Женский,Сожительница,
P000253,42,,blank,,16,Женский,Сожительница,
P000255,42,,blank,,40,Женский,Жена,
P000257,42,,blank,,20,Женский,Сожительница,
P000258,43,,blank,,3,Женский,Незаконнорожденная дочь,203
P000259,43,,blank,,2,Женский,Незаконнорожденная дочь,202
P000260,43,,blank,,0,Мужской,Незаконнорожденный сын,201
P000261,43,,blank,,51,Женский,Мать,
P000262,43,,blank,,12,Женский,Нянька,
P000264,43,,blank,,17,Женский,Жена,
P000265,43,,blank,,2,Мужской,Пасынок,Сын Сусанны от живого мужа
P000266,43,,blank,,56,Мужской,Хозяин,
P000267,43,,blank,,34,Женский,Сожительница,
P000268,43,,blank,,0,Мужской,Незаконнорожденный сын,3 недели; 200
P000270,43,,blank,,41,Женский,Жена,
P000272,43,,blank,,35,Женский,Жена,Во Владивостоке
P000274,43,,blank,,34,Женский,Жена,
P000276,44,,blank,,36,Женский,Хозяйка,имеет сожителя Кузьму Соколова см. №14
P000277,44,,blank,,28,Мужской,Жилец,
P000278,44,,blank,,33,Женский,Хозяйка,
P000279,44,,blank,,13,Мужской,Незаконнорожденный сын,199
P000281,44,,blank,,41,Мужской,Хозяин,
P000282,44,,blank,,40,Женский,Жена,
P000283,44,,blank,,12,Женский,Дочь,
P000284,44,,blank,,10,Женский,Дочь,
P000285,44,,blank,,3,Женский,Дочь,
P000289,44,,blank,,45,Женский,Жена,
P000291,44,,blank,,4,Женский,Дочь,
P000292,44,,blank,,2,Женский,Дочь,
P000295,45,,blank,,33,Мужской,Жилец,
P000296,45,,blank,,65,Мужской,Хозяин,Ташкент
P000297,45,,blank,,67,Женский,Жена,Ташкент
P000298,45,,blank,,34,Женский,Жена,
P000299,45,,blank,,4,Мужской,Сын,
P000300,45,,blank,,1,Мужской,Сын,
P000301,45,,blank,,50,Мужской,Хозяин,
P000302,45,,blank,,50,Женский,Сожительница,
P000304,45,,blank,,38,Мужской,Жилец,
P000305,45,,blank,,38,Женский,Жена,
P000306,45,,blank,,31,Мужской,Хозяин,В Николаевске по билету
P000307,45,,blank,,29,Женский,Жена,
P000308,45,,blank,,2,Мужской,Сын,
P000309,46,,blank,,50,Мужской,Жилец,Жена умерла на Сахалине
P000310,46,,blank,,40,Мужской,Хозяин,
P000311,46,,blank,,40,Женский,Сожительница,
P000312,46,,blank,,7,Мужской,Незаконнорожденный сын,198
P000313,46,,blank,,31,Мужской,Жилец,
P000314,46,,blank,,31,Женский,Жена,
P000315,46,,blank,,28,Мужской,Жилец,
P000316,46,,blank,,58,Мужской,Жилец,
P000318,46,,blank,,25,Мужской,Жилец,Жена в доме Коровина
P000320,46,,blank,,33,Женский,Сожительница,
P000326,47,,blank,,25,Женский,Сожительница,
P000327,47,,blank,,4,Женский,Незаконнорожденная дочь,197
P000328,47,,blank,,35,Мужской,Жилец,
P000329,47,,blank,,34,Женский,Жена,
P000330,47,,blank,,0,Мужской,Сын,
P000331,47,,blank,,32,Женский,Хозяйка,
P000332,47,,blank,,32,Мужской,Сожитель,
P000333,47,,blank,,1,Мужской,Незаконнорожденный сын,196
P000335,47,,blank,,0,Мужской,Незаконнорожденный сын,195
P000340,47,,blank,,40,Женский,Жена,Ташкент
P000341,47,,blank,,1,Женский,Дочь,
P000343,48,,blank,,28,Женский,Жена,
P000344,48,,blank,,2,Женский,Дочь,
P000345,48,,blank,,0,Мужской,Сын,
P000348,48,,blank,,27,Женский,Сожительница,
P000349,48,,blank,,1,Мужской,Незаконнорожденный сын,194
P000350,48,,blank,,39,Мужской,Жилец,пришла за мужем
P000351,48,,blank,,28,Женский,Жена,
P000353,48,,blank,,47,Женский,Сожительница,
P000354,48,,blank,,66,Женский,Жилица,
P000355,48,,blank,,20,Женский,Жилица,
P000359,49,,blank,,32,Женский,Жена,
P000363,49,,blank,,30,Женский,Сожительница,
P000364,49,,blank,,7,Женский,Незаконнорожденная дочь,191
P000365,49,,blank,,4,Мужской,Незаконнорожденный сын,193
