person_id,old_source_position_id,new_source_position_id,changed_fields,changed_field_count
P000053,1-01-010-0053,1-01-010-0053,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000054,1-01-010-0054,1-01-010-0054,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000055,1-01-010-0055,1-01-010-0055,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000056,1-01-010-0056,1-01-010-0056,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000057,1-01-010-0057,1-01-010-0057,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000058,1-01-010-0058,1-01-010-0058,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000059,1-01-010-0059,1-01-010-0059,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000060,1-01-010-0060,1-01-010-0060,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000061,1-01-010-0061,1-01-010-0061,family_status_norm; household_id; household_number; household_type; legal_status_norm; sex; sex_evidence,7
P000062,1-01-010-0062,1-01-010-0062,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000063,1-01-011-0063,1-01-011-0063,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000064,1-01-011-0064,1-01-011-0064,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000065,1-01-011-0065,1-01-011-0065,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000066,1-01-011-0066,1-01-011-0066,family_status_norm; household_id; household_number; household_type; legal_status_norm; sex; sex_evidence,7
P000067,1-01-012-0067,1-01-012-0067,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000068,1-01-012-0068,1-01-012-0068,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000069,1-01-012-0069,1-01-012-0069,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000070,1-01-012-0070,1-01-012-0070,family_status_norm; household_id; household_number; household_type; legal_status_norm; sex; sex_evidence,7
P000071,1-01-012-0071,1-01-012-0071,family_status_norm; household_id; household_number; household_type; legal_status_norm; sex; sex_evidence,7
P000072,1-01-012-0072,1-01-012-0072,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000073,1-01-012-0073,1-01-012-0073,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000074,1-01-012-0074,1-01-012-0074,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000075,1-01-012-0075,1-01-012-0075,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000076,1-01-012-0076,1-01-012-0076,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000077,1-01-012-0077,1-01-012-0077,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000078,1-01-013-0078,1-01-013-0078,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000079,1-01-013-0079,1-01-013-0079,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000080,1-01-013-0080,1-01-013-0080,family_status_norm; household_id; household_number; household_type; legal_status_norm; sex; sex_evidence,7
P000081,1-01-013-0081,1-01-013-0081,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000082,1-01-013-0082,1-01-013-0082,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000083,1-01-013-0083,1-01-013-0083,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000084,1-01-013-0084,1-01-013-0084,family_status_norm; household_id; household_number; household_type; legal_status_norm; sex; sex_evidence,7
