person_id,source_position_id,page_number,field,before,after
P006825,3-42-042-0047,452,age_months,,0
P006857,3-43-003-0005,453,age_months,,10
P006857,3-43-003-0005,453,comments,10 месяцев; 116,116
P006891,3-43-031-0039,455,age_months,,21
P006891,3-43-031-0039,455,comments,1 год 9 месяцев; 114,114
P006895,3-43-034-0043,455,age_months,,22
P006895,3-43-034-0043,455,comments,1 год 10 месяцев,
P006896,3-43-034-0044,455,age_months,,7
P006896,3-43-034-0044,455,comments,7 месяцев,
P006901,3-43-036-0049,456,age_months,,18
P006901,3-43-036-0049,456,comments,1 год 6 месяцев; 113,113
P006923,3-43-055-0071,457,age_months,,1
P006923,3-43-055-0071,457,comments,1 месяц,
P006979,3-44-013-0017,460,age_months,,10
P006979,3-44-013-0017,460,comments,10 месяцев; 84,84
P007011,3-44-039-0049,462,age_months,,11
P007011,3-44-039-0049,462,comments,11 месяцев; 83,83
P007041,3-44-061-0079,463,age_months,,8
P007041,3-44-061-0079,463,comments,8 месяцев; 81,81
P007139,3-45-009-0018,469,age_months,,9
P007139,3-45-009-0018,469,comments,9 месяцев; 66,66
P007145,3-45-011-0024,469,age_months,,1
P007149,3-45-013-0028,469,age_months,,6
P007149,3-45-013-0028,469,comments,6 месяцев; 62,62
P007154,3-45-016-0033,469,age_months,,22
P007154,3-45-016-0033,469,comments,1 год 10 месяцев; 61,61
P007159,3-45-018-0038,470,age_months,,8
P007159,3-45-018-0038,470,comments,8 месяцев; 60,60
P007166,3-45-022-0045,470,age_months,,14
P007166,3-45-022-0045,470,comments,1 год 2 месяца; 68,68
P007204,3-45-050-0083,472,age_months,,0
P007210,3-45-052-0089,472,age_months,,11
P007210,3-45-052-0089,472,comments,11 месяцев; 5,5
P007247,3-46-026-0037,475,age_months,,11
P007247,3-46-026-0037,475,comments,11 месяцев; 76,76
P007256,3-46-032-0046,475,age_months,,22
P007256,3-46-032-0046,475,comments,1 год 10 месяцев; 74,74
P007268,3-46-039-0058,476,age_months,,17
P007268,3-46-039-0058,476,comments,1 год 5 месяцев; 70,70
P007292,3-47-009-0014,477,age_months,,10
P007292,3-47-009-0014,477,comments,10 месяцев; 96,96
P007310,3-47-019-0032,478,age_months,,22
P007310,3-47-019-0032,478,comments,1 год 10 месяцев; 93,93
P007333,3-48-002-0007,480,age_months,,4
P007333,3-48-002-0007,480,comments,4 месяца; 105,105
P007354,3-48-015-0028,481,age_months,,11
P007354,3-48-015-0028,481,comments,11 месяцев; 101,101
P007355,3-48-015-0029,481,age_months,,11
P007355,3-48-015-0029,481,comments,11 месяцев; 102,102
P007401,3-49-001-0004,483,age_months,,7
P007401,3-49-001-0004,483,comments,7 месяцев; 110,110
P007424,3-49-019-0027,484,age_months,,23
P007424,3-49-019-0027,484,comments,1 год 11 месяцев; 108,108
