person_id,source_position_id,page_number,field,before,after
P002037,1-04-106-0344,151,age_months,,7
P002037,1-04-106-0344,151,comments,7 месяцев; 411,411
P002099,1-04-126-0406,155,age_months,,10
P002099,1-04-126-0406,155,comments,10 месяцев,
P002128,1-04-000-0435,157,age_months,,23
P002128,1-04-000-0435,157,comments,1 год 11 месяцев; 418,418
P002183,1-05-030-0044,161,age_months,,4
P002183,1-05-030-0044,161,comments,4 месяца; 343 51,343 51
P002185,1-05-031-0046,161,age_months,,11
P002185,1-05-031-0046,161,comments,11 месяцев; 344 54,344 54
P002193,1-05-034-0054,161,age_months,,16
P002193,1-05-034-0054,161,comments,1 год 4 месяца; 346 61,346 61
P002229,1-05-000-0090,163,age_months,,18
P002229,1-05-000-0090,163,comments,1 год 6 месяцев; 341 6,341 6
P002241,1-06-007-0012,164,age_months,,7
P002241,1-06-007-0012,164,comments,7 месяцев; 17,17
P002251,1-06-020-0022,165,age_months,,3
P002251,1-06-020-0022,165,comments,3 месяца; 92 34,92 34
P002262,1-08-001-0005,166,age_months,,5
P002262,1-08-001-0005,166,comments,5 месяцев; 6,6
P002298,1-08-011-0041,168,age_months,,9
P002298,1-08-011-0041,168,comments,9 месяцев; 431,431
P002313,1-08-016-0056,169,age_months,,8
P002313,1-08-016-0056,169,comments,8 месяцев,
P002322,1-08-017-0065,170,age_months,,2
P002322,1-08-017-0065,170,comments,2 месяца,
P002338,1-08-022-0081,171,age_months,,3
P002338,1-08-022-0081,171,comments,3 месяца,
P002369,1-09-030-0008,173,age_months,,3
P002369,1-09-030-0008,173,comments,3 месяца,
P002376,1-09-033-0015,174,age_months,,5
P002376,1-09-033-0015,174,comments,5 месяцев,
P002384,1-09-035-0023,174,age_months,,4
P002384,1-09-035-0023,174,comments,4 месяца,
P002388,1-09-036-0027,175,age_months,,20
P002388,1-09-036-0027,175,comments,1 год 8 месяцев,
P002407,1-09-041-0046,176,age_months,,14
P002407,1-09-041-0046,176,comments,1 год 2 месяца,
P002411,1-09-042-0050,176,age_months,,17
P002411,1-09-042-0050,176,comments,1 год 5 месяцев,
P002425,1-09-046-0064,177,age_months,,4
P002425,1-09-046-0064,177,comments,4 месяца,
P002429,1-09-047-0068,177,age_months,,11
P002429,1-09-047-0068,177,comments,11 месяцев,
P002437,1-09-050-0076,178,age_months,,20
P002437,1-09-050-0076,178,comments,1 год 8 месяцев,
P002470,1-11-057-0012,180,age_months,,19
P002470,1-11-057-0012,180,comments,1 год 7 месяцев,
P002482,1-11-060-0024,181,age_months,,11
P002482,1-11-060-0024,181,comments,11 месяцев,
P002491,1-11-062-0033,181,age_months,,3
P002491,1-11-062-0033,181,comments,3 месяца; 9,9
P002557,1-14-025-0014,184,age_months,,10
P002557,1-14-025-0014,184,comments,10 месяцев; 353,353
P002626,1-18-004-0016,188,age_months,,3
P002626,1-18-004-0016,188,comments,3 месяца; 359,359
P002652,1-18-011-0042,189,age_months,,8
P002652,1-18-011-0042,189,comments,8 месяцев; 362,362
P002690,1-18-021-0080,192,age_months,,8
P002690,1-18-021-0080,192,comments,8 месяцев,
P002700,1-18-023-0090,192,age_months,,9
