check,value,pass
input_records,7446,TRUE
staged_records,7446,TRUE
approved_distinct_source_values,190,TRUE
unmapped_source_values,0,TRUE
non_target_field_changes,0,TRUE
blank_norm_for_nonblank_source,0,TRUE
family_status_preserved,0,TRUE
