field,changed_records
comments,56
first_name,7356
first_name_source,7356
last_name,7437
last_name_source,7437
manual_review_reason,301
name_alias,39
name_order_detected,7446
name_raw,55
naming_model,7446
parse_confidence,7446
parse_rule,7446
parse_status,7446
patronymic_name,4842
patronymic_source,4842
