person_id,changed_field_count,changed_fields
P000001,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000002,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000003,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000004,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000005,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000006,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000007,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000008,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000009,9,first_name; last_name; first_name_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000010,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000011,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000012,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000013,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000014,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000015,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000016,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000017,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000018,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000019,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000020,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000021,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000022,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000023,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000024,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000025,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000026,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000027,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000028,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000029,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000030,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000031,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000032,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000033,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000034,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000035,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000036,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000037,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000038,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000039,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000040,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000041,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000042,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000043,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000044,9,first_name; last_name; first_name_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000045,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000046,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000047,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000048,9,first_name; last_name; first_name_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000049,9,first_name; last_name; first_name_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000050,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000051,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000052,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000053,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000054,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000055,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000056,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000057,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000058,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000059,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000060,9,first_name; last_name; first_name_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000061,9,first_name; last_name; first_name_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000062,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000063,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000064,10,name_raw; first_name; last_name; first_name_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000065,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000066,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000067,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000068,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000069,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000070,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000071,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000072,10,first_name; last_name; first_name_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model; manual_review_reason
P000073,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000074,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000075,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000076,10,first_name; last_name; first_name_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model; manual_review_reason
P000077,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000078,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000079,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000080,9,first_name; last_name; first_name_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000081,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000082,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000083,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000084,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000085,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000086,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000087,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000088,11,first_name; patronymic_name; last_name; first_name_source; patronymic_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
P000089,9,first_name; last_name; first_name_source; last_name_source; parse_status; parse_confidence; parse_rule; name_order_detected; naming_model
