person_id,page_number,marriage_status,marriage_status_norm,living_alone_status,comments_before,comments_after
P000001,27,женат на родине,Женат на родине,,,
P000002,27,женат на родине,Женат на родине,,,
P000003,27,холост,Холост,,,
P000004,27,холост,Холост,,,
P000006,27,холост. одинок,Холост,Одинок,,
P000007,27,женат на Сахалине,Женат на Сахалине,,,
P000008,27,женат на Сахалине,Женат на Сахалине,,Житомирская,Житомирская
P000010,27,женат на родине. одинок,Женат на родине,Одинок,,
P000011,27,холост. одинок,Холост,Одинок,,
P000012,28,женат на родине,Женат на родине,,,
P000013,28,женат на родине,Женат на родине,,,
P000014,28,холост,Холост,,Во Владивостоке,Во Владивостоке
P000015,28,холост,Холост,,,
P000016,28,холост. одинок,Холост,Одинок,,
P000017,28,женат на родине,Женат на родине,,Во Владивостоке,Во Владивостоке
P000018,28,женат на родине,Женат на родине,,,
P000021,28,женат на родине. одинок,Женат на родине,Одинок,,
P000022,28,женат на родине,Женат на родине,,,
P000023,28,женат на родине,Женат на родине,,,
P000024,28,женат на Сахалине,Женат на Сахалине,,,
P000025,28,женат на Сахалине,Женат на Сахалине,,,
P000028,29,холост,Холост,,,
P000029,29,холост,Холост,,,
P000030,29,женат на Сахалине,Женат на Сахалине,,,
P000031,29,женат на Сахалине,Женат на Сахалине,,,
P000033,29,женат на Сахалине,Женат на Сахалине,,,
P000034,29,женат на Сахалине,Женат на Сахалине,,,
P000036,29,женат на родине. одинок,Женат на родине,Одинок,,
P000037,29,холост. одинок,Холост,Одинок,,
P000038,29,женат на родине. одинок,Женат на родине,Одинок,,
P000039,29,холост,Холост,,,
P000040,29,холост,Холост,,Новочеркасская область,Новочеркасская область
P000041,29,холост,Холост,,,
P000042,29,женат на родине,Женат на родине,,,
P000043,29,вдов,Вдов,,,
P000045,30,холост. одинок,Холост,Одинок,,
P000046,30,женат на родине,Женат на родине,,,
P000047,30,женат на родине,Женат на родине,,,
P000048,30,холост. одинок,Холост,Одинок,,
P000049,30,женат на Сахалине,Женат на Сахалине,,,
P000050,30,женат на Сахалине,Женат на Сахалине,,,
P000052,30,вдов. одинок,Вдов,Одинок,,
P000053,30,женат на Сахалине,Женат на Сахалине,,,
P000054,30,женат на Сахалине,Женат на Сахалине,,,
P000058,30,женат на родине,Женат на родине,,,
P000059,30,женат на родине,Женат на родине,,,
P000060,30,холост,Холост,,,
P000062,31,вдов. одинока,Вдов,Одинок,,
P000063,31,вдов. одинок,Вдов,Одинок,,
P000064,31,женат на Сахалине,Женат на Сахалине,,,
P000065,31,женат на Сахалине,Женат на Сахалине,,,
P000067,31,женат на Сахалине,Женат на Сахалине,,,
P000068,31,женат на Сахалине,Женат на Сахалине,,,
P000072,31,холост. одинок,Холост,Одинок,,
P000073,31,холост. одинок,Холост,Одинок,,
P000074,31,женат на родине. одинок,Женат на родине,Одинок,,
P000075,31,холост. одинок,Холост,Одинок,,
P000076,31,женат на родине,Женат на родине,,,
P000077,31,холост. одинок,Холост,Одинок,,
P000078,32,женат на родине,Женат на родине,,,
P000079,32,женат на родине,Женат на родине,,,
P000081,32,женат на родине,Женат на родине,,,
P000082,32,женат на родине,Женат на родине,,,
P000083,32,женат на родине. одинок,Женат на родине,Одинок,,
P000084,32,женат на родине,Женат на родине,,,
P000085,32,женат на родине,Женат на родине,,,
P000086,32,женат на родине,Женат на родине,,,
P000087,32,холост,Холост,,,
P000088,32,холост,Холост,,,
P000091,32,женат на Сахалине,Женат на Сахалине,,,
P000092,32,женат на Сахалине,Женат на Сахалине,,,
P000095,33,женат на родине. одинок,Женат на родине,Одинок,,
P000096,33,женат на родине. одинок,Женат на родине,Одинок,,
P000097,33,женат на родине,Женат на родине,,,
P000098,33,вдов,Вдов,,,
P000099,33,вдов,Вдов,,,
P000100,33,холост,Холост,,,
P000101,33,женат на родине,Женат на родине,,,
P000102,33,вдов. одинок,Вдов,Одинок,,
P000103,33,холост,Холост,,,
P000104,33,холост,Холост,,,
P000105,33,вдов,Вдов,,,
P000106,33,женат на родине,Женат на родине,,,
P000107,33,женат на родине,Женат на родине,,,
P000108,34,женат на родине,Женат на родине,,,
P000110,34,холост,Холост,,,
P000111,34,холост,Холост,,,
P000112,34,вдов,Вдов,,У Мелевича,У Мелевича
P000113,34,холост,Холост,,Надецк,Надецк
P000114,34,холост,Холост,,,
P000115,34,женат на родине. одинок,Женат на родине,Одинок,Надецк,Надецк
P000116,34,женат на родине,Женат на родине,,,
P000117,34,женат на родине,Женат на родине,,Дом Мыльникова,Дом Мыльникова
P000118,34,вдов,Вдов,,,
P000119,34,холост,Холост,,,
P000120,34,женат на родине. одинок,Женат на родине,Одинок,,
P000121,34,женат на родине. одинок,Женат на родине,Одинок,,
P000122,35,холост,Холост,,,
P000123,35,женат на родине,Женат на родине,,,
P000124,35,женат на родине. одинок,Женат на родине,Одинок,,
P000125,35,холост,Холост,,,
P000126,35,женат на родине. одинок,Женат на родине,Одинок,,
P000127,35,вдов,Вдов,,,
P000128,35,женат на родине. одинок,Женат на родине,Одинок,,
P000129,35,женат на родине,Женат на родине,,,
P000130,35,женат на родине,Женат на родине,,пришла за мужем,пришла за мужем
P000131,35,холост,Холост,,,
P000132,35,вдов,Вдов,,,
P000133,35,женат на родине. одинок,Женат на родине,Одинок,,
P000134,35,женат на родине. одинок,Женат на родине,Одинок,,
P000135,35,женат на родине. одинок,Женат на родине,Одинок,Анастасия Савельева 49. Алекс. Савельев 48. Ярцев 43. Родилось мужчин 34 женщин 26. Умерло мужчин 69 женщин 13,Анастасия Савельева 49. Алекс. Савельев 48. Ярцев 43. Родилось мужчин 34 женщин 26. Умерло мужчин 69 женщин 13
P000136,36,холост,Холост,,,
P000137,36,холост. одинок,Холост,Одинок,,
P000138,36,холост. одинок,Холост,Одинок,,
P000139,36,вдов. одинок,Вдов,Одинок,,
P000140,36,холост,Холост,,,
P000141,36,женат на родине. одинок,Женат на родине,Одинок,,
P000142,36,холост,Холост,,,
P000143,36,вдов. одинок,Вдов,Одинок,,
P000144,36,вдов,Вдов,,,
P000145,36,женат на родине,Женат на родине,,,
P000146,36,женат на родине,Женат на родине,,,
P000148,36,холост,Холост,,,
P000149,36,женат на родине,Женат на родине,,,
P000150,36,вдов,Вдов,,,
P000154,37,женат на родине. одинок,Женат на родине,Одинок,,
P000155,37,женат на Сахалине,Женат на Сахалине,,,
P000156,37,женат на Сахалине,Женат на Сахалине,,,
P000162,37,холост,Холост,,,
P000163,37,вдов. одинок,Вдов,Одинок,,
P000164,37,вдов,Вдов,,,
P000165,37,женат на родине. одинок,Женат на родине,Одинок,,
P000166,37,женат на родине,Женат на родине,,,
P000167,37,вдов,Вдов,,Ташкент,Ташкент
P000168,37,женат на родине,Женат на родине,,,
P000169,37,женат на родине,Женат на родине,,,
P000170,38,холост,Холост,,,
P000171,38,женат на родине. одинок,Женат на родине,Одинок,,
P000172,38,холост,Холост,,,
P000173,38,женат на родине,Женат на родине,,,
P000177,38,вдов,Вдов,,,
P000178,38,женат на родине,Женат на родине,,,
P000179,38,женат на родине,Женат на родине,,,
P000184,38,женат на родине,Женат на родине,,,
P000187,38,женат на родине,Женат на родине,,,
P000189,39,холост,Холост,,,
P000190,39,холост,Холост,,,
P000191,39,женат на родине,Женат на родине,,Муж в 3 Аркове,Муж в 3 Аркове
P000192,39,женат на родине,Женат на родине,,,
P000193,39,вдов,Вдов,,,
P000194,39,женат на родине,Женат на родине,,,
P000195,39,женат на родине,Женат на родине,,,
P000197,39,женат на родине. одинок,Женат на родине,Одинок,1 кос. Осипов,1 кос. Осипов
P000198,39,холост. одинок,Холост,Одинок,,
P000199,39,вдов,Вдов,,,
P000200,39,женат на родине,Женат на родине,,,
P000201,39,женат на родине,Женат на родине,,В лазарете,В лазарете
P000202,39,холост,Холост,,,
P000203,39,холост,Холост,,,
P000204,39,женат на родине,Женат на родине,,,
P000206,40,женат на родине,Женат на родине,,,
P000207,40,вдов,Вдов,,,
P000209,40,женат на родине,Женат на родине,,,
P000210,40,женат на родине,Женат на родине,,,
P000211,40,женат на родине,Женат на родине,,,
P000212,40,женат на родине,Женат на родине,,,
P000213,40,холост. одинок,Холост,Одинок,,
P000214,40,вдов,Вдов,,,
P000219,40,вдов,Вдов,,,
P000220,40,вдов,Вдов,,,
P000221,40,холост,Холост,,,
P000222,40,вдов,Вдов,,Житомирская,Житомирская
P000223,41,женат на родине,Женат на родине,,В тюрьме,В тюрьме
P000224,41,женат на родине,Женат на родине,,,
P000228,41,женат на родине,Женат на родине,,Муж ссыльнокаторжный работник на дороге,Муж ссыльнокаторжный работник на дороге
P000229,41,холост. одинок,Холост,Одинок,Нижний Армудан,Нижний Армудан
P000230,41,вдов,Вдов,,,
P000231,41,женат на родине,Женат на родине,,,
P000232,41,холост. одинок,Холост,Одинок,,
P000233,41,женат на родине,Женат на родине,,,
P000234,41,женат на родине,Женат на родине,,,
P000239,41,холост,Холост,,,
P000240,41,женат на родине,Женат на родине,,,
P000241,42,вдов. одинок,Вдов,Одинок,,
P000242,42,женат на Сахалине,Женат на Сахалине,,,
P000243,42,женат на Сахалине,Женат на Сахалине,,,
P000244,42,вдов,Вдов,,,
P000246,42,холост,Холост,,,
P000247,42,женат на родине,Женат на родине,,,
P000248,42,холост,Холост,,,
P000249,42,женат на родине,Женат на родине,,,
P000250,42,холост,Холост,,,
P000251,42,холост,Холост,,,
P000252,42,женат на родине,Женат на родине,,,
P000253,42,холост,Холост,,,
P000254,42,женат на Сахалине,Женат на Сахалине,,,
P000255,42,женат на Сахалине,Женат на Сахалине,,,
P000256,42,вдов,Вдов,,,
P000257,42,вдов,Вдов,,,
P000261,43,женат на родине,Женат на родине,,,
P000263,43,женат на Сахалине,Женат на Сахалине,,,
P000264,43,женат на Сахалине,Женат на Сахалине,,,
P000266,43,вдов,Вдов,,,
P000267,43,вдов,Вдов,,,
P000269,43,женат на Сахалине,Женат на Сахалине,,,
P000270,43,женат на Сахалине,Женат на Сахалине,,,
P000271,43,женат на родине,Женат на родине,,,
P000272,43,женат на родине,Женат на родине,,Во Владивостоке,Во Владивостоке
P000273,43,женат на Сахалине,Женат на Сахалине,,,
P000274,43,женат на Сахалине,Женат на Сахалине,,,
P000275,44,холост,Холост,,,
P000276,44,вдов,Вдов,,имеет сожителя Кузьму Соколова см. №14,имеет сожителя Кузьму Соколова см. №14
P000277,44,холост. одинок,Холост,Одинок,,
P000278,44,вдов,Вдов,,,
P000280,44,женат на родине,Женат на родине,,,
P000281,44,женат на родине,Женат на родине,,,
P000282,44,женат на родине,Женат на родине,,,
P000286,44,холост,Холост,,,
P000287,44,вдов,Вдов,,,
P000288,44,женат на Сахалине,Женат на Сахалине,,,
P000289,44,женат на Сахалине,Женат на Сахалине,,,
P000290,44,вдов,Вдов,,,
P000293,45,вдов,Вдов,,,
P000294,45,женат на родине,Женат на родине,,,
P000295,45,холост,Холост,,,
P000296,45,женат на родине и на Сахалине,Женат на родине и на Сахалине,,Ташкент,Ташкент
P000297,45,женат на родине,Женат на родине,,Ташкент,Ташкент
P000298,45,женат на Сахалине,Женат на Сахалине,,,
P000301,45,женат на родине,Женат на родине,,,
P000302,45,женат на родине,Женат на родине,,,
P000303,45,холост,Холост,,,
P000304,45,женат на родине,Женат на родине,,,
P000305,45,женат на родине,Женат на родине,,,
P000306,45,женат на родине,Женат на родине,,В Николаевске по билету,В Николаевске по билету
P000307,45,женат на родине,Женат на родине,,,
P000309,46,вдов,Вдов,,Жена умерла на Сахалине,Жена умерла на Сахалине
P000310,46,женат на родине,Женат на родине,,,
P000311,46,женат на родине,Женат на родине,,,
P000313,46,женат на родине,Женат на родине,,,
P000314,46,женат на родине,Женат на родине,,,
P000315,46,вдов,Вдов,,,
P000316,46,вдов,Вдов,,,
P000317,46,женат на родине. одинок,Женат на родине,Одинок,,
P000318,46,женат на родине,Женат на родине,,Жена в доме Коровина,Жена в доме Коровина
P000319,46,женат на родине,Женат на родине,,,
P000320,46,вдов,Вдов,,,
P000321,46,женат на родине. одинок,Женат на родине,Одинок,,
P000322,46,холост,Холост,,,
P000323,46,женат на родине. одинок,Женат на родине,Одинок,,
P000324,46,холост,Холост,,,
P000325,46,холост,Холост,,,
P000326,47,вдов,Вдов,,,
P000328,47,женат на родине,Женат на родине,,,
P000329,47,женат на родине,Женат на родине,,,
P000331,47,вдов,Вдов,,,
P000332,47,холост,Холост,,,
P000334,47,холост,Холост,,,
P000336,47,холост,Холост,,сожительствует с ссыльнокаторжной Комаровой,сожительствует с ссыльнокаторжной Комаровой
P000337,47,холост,Холост,,,
P000338,47,женат на родине,Женат на родине,,1-я Кирпичная,1-я Кирпичная
P000339,47,женат на родине,Женат на родине,,Ташкент,Ташкент
P000340,47,женат на родине,Женат на родине,,Ташкент,Ташкент
P000342,48,женат на родине,Женат на родине,,,
P000343,48,женат на родине,Женат на родине,,,
P000346,48,вдов. одинок,Вдов,Одинок,,
P000347,48,холост,Холост,,,
P000348,48,холост,Холост,,,
P000350,48,женат на родине,Женат на родине,,пришла за мужем,пришла за мужем
P000351,48,женат на родине,Женат на родине,,,
P000352,48,женат на родине,Женат на родине,,,
P000353,48,холост,Холост,,,
P000354,48,вдов,Вдов,,,
P000355,48,вдов,Вдов,,,
P000356,48,женат на родине,Женат на родине,,Жена во Владивостоке,Жена во Владивостоке
P000357,48,вдов. одинок,Вдов,Одинок,,
P000358,48,женат на Сахалине,Женат на Сахалине,,,
P000359,49,женат на Сахалине,Женат на Сахалине,,,
P000360,49,вдов,Вдов,,,
P000361,49,вдов,Вдов,,,
P000362,49,женат на родине,Женат на родине,,,
P000363,49,вдов,Вдов,,,
P000367,49,вдов,Вдов,,,
P000368,49,женат на Сахалине,Женат на Сахалине,,,
P000369,49,женат на Сахалине,Женат на Сахалине,,,
P000370,49,вдов. одинока,Вдов,Одинок,,
P000371,49,женат на родине. одинок,Женат на родине,Одинок,,
P000372,49,холост,Холост,,,
P000373,49,холост,Холост,,,
P000374,49,женат на родине,Женат на родине,,,
P000375,50,вдов,Вдов,,,
P000376,50,женат на Сахалине,Женат на Сахалине,,Во Владивостоке по билету,Во Владивостоке по билету
P000377,50,женат на Сахалине,Женат на Сахалине,,,
P000378,50,женат на родине. одинок,Женат на родине,Одинок,,
P000379,50,холост,Холост,,,
P000380,50,женат на родине. одинок,Женат на родине,Одинок,,
P000381,50,женат на родине,Женат на родине,,,
P000382,50,женат на родине,Женат на родине,,,
P000384,50,холост,Холост,,,
P000385,50,женат на родине,Женат на родине,,,
P000388,50,холост,Холост,,,
P000389,50,женат на родине,Женат на родине,,,
P000392,50,вдов,Вдов,,,
P000393,51,холост,Холост,,,
P000394,51,женат на родине,Женат на родине,,,
P000399,51,женат на родине,Женат на родине,,,
P000400,51,холост,Холост,,,
P000401,51,холост,Холост,,,
P000402,51,холост,Холост,,,
P000403,51,холост,Холост,,,
P000404,51,вдов,Вдов,,,
P000405,51,холост,Холост,,В Николаевске по болезни.2,В Николаевске по болезни.2
P000406,51,вдов,Вдов,,,
P000409,51,женат на родине,Женат на родине,,,
P000410,51,женат на родине,Женат на родине,,,
P000413,52,холост,Холост,,,
P000414,52,женат на родине,Женат на родине,,,
P000415,52,женат на родине,Женат на родине,,,
P000416,52,вдов,Вдов,,,
P000417,52,женат на родине,Женат на родине,,,
P000418,52,женат на родине,Женат на родине,,,
P000420,52,вдов,Вдов,,,
P000421,52,холост,Холост,,,
P000422,52,вдов,Вдов,,,
P000423,52,женат на родине,Женат на родине,,,
P000424,52,женат на родине,Женат на родине,,,
P000425,52,женат на родине. одинок,Женат на родине,Одинок,,
P000426,52,вдов,Вдов,,,
P000427,52,женат на родине. одинок,Женат на родине,Одинок,,
P000428,52,холост,Холост,,3 Касьяновская улица. Дом Василенко,3 Касьяновская улица. Дом Василенко
P000429,53,женат на родине,Женат на родине,,,
P000430,53,женат на родине,Женат на родине,,,
P000431,53,женат на родине. одинок,Женат на родине,Одинок,,
P000432,53,женат на родине,Женат на родине,,,
P000433,53,вдов,Вдов,,,
P000434,53,женат на родине. одинок,Женат на родине,Одинок,,
P000435,53,женат на родине,Женат на родине,,,
P000436,53,женат на родине,Женат на родине,,,
P000437,53,женат на родине,Женат на родине,,,
P000438,53,женат на родине,Женат на родине,,,
P000439,53,женат на родине,Женат на родине,,,
P000440,53,вдов,Вдов,,,
P000441,53,холост,Холост,,,
P000442,53,холост. одинок,Холост,Одинок,,
P000443,53,женат на родине,Женат на родине,,,
P000444,54,женат на родине,Женат на родине,,,
P000446,54,холост,Холост,,,
P000447,54,женат на родине. одинок,Женат на родине,Одинок,,
P000448,54,женат на родине,Женат на родине,,,
P000449,54,женат на родине,Женат на родине,,,
P000454,54,женат на родине,Женат на родине,,,
P000455,54,женат на родине,Женат на родине,,,
P000456,54,женат на родине,Женат на родине,,,
P000457,54,женат на родине,Женат на родине,,,
P000458,54,холост,Холост,,,
P000459,54,женат на родине,Женат на родине,,,
P000460,54,женат на родине,Женат на родине,,,
P000462,55,женат на родине,Женат на родине,,,
P000463,55,женат на родине,Женат на родине,,,
P000467,55,женат на родине,Женат на родине,,,
P000468,55,женат на родине. одинок,Женат на родине,Одинок,,
P000469,55,женат на родине,Женат на родине,,,
P000470,55,вдов,Вдов,,,
P000472,55,холост. одинок,Холост,Одинок,,
P000473,55,женат на родине,Женат на родине,,,
P000474,55,женат на родине,Женат на родине,,,
P000476,55,женат на родине. одинок,Женат на родине,Одинок,,
P000477,55,женат на родине. одинок,Женат на родине,Одинок,,
P000478,55,вдов. одинок,Вдов,Одинок,,
P000479,56,женат на родине,Женат на родине,,,
P000480,56,женат на родине,Женат на родине,,,
P000481,56,женат на родине. одинок,Женат на родине,Одинок,,
P000482,56,холост,Холост,,,
P000483,56,женат на родине,Женат на родине,,,
P000484,56,холост,Холост,,,
P000485,56,холост,Холост,,,
P000486,56,женат на родине,Женат на родине,,,
P000487,56,женат на родине,Женат на родине,,,
P000488,56,женат на родине,Женат на родине,,,
P000492,56,женат на родине,Женат на родине,,,
P000493,56,женат на родине,Женат на родине,,,
P000494,56,женат на родине,Женат на родине,,,
P000495,57,женат на родине,Женат на родине,,,
P000497,57,женат на родине. одинок,Женат на родине,Одинок,,
P000498,57,женат на родине,Женат на родине,,,
P000499,57,женат на родине,Женат на родине,,,
P000500,57,холост,Холост,,,
P000501,57,холост,Холост,,,
P000502,57,холост,Холост,,,
P000503,57,женат на родине. одинок,Женат на родине,Одинок,,
P000504,57,женат на родине,Женат на родине,,,
P000505,57,женат на родине,Женат на родине,,,
P000506,57,женат на родине,Женат на родине,,,
P000507,57,женат на родине. одинок,Женат на родине,Одинок,,
P000508,57,холост,Холост,,,
P000509,57,вдов,Вдов,,,
P000510,58,холост. одинок,Холост,Одинок,,
P000511,58,вдов,Вдов,,,
P000512,58,холост,Холост,,,
P000513,58,женат на родине,Женат на родине,,,
P000514,58,женат на родине,Женат на родине,,,
P000515,58,женат на родине,Женат на родине,,,
P000516,58,холост,Холост,,,
P000517,58,женат на родине. одинок,Женат на родине,Одинок,,
P000518,58,женат на родине,Женат на родине,,,
P000519,58,вдов. одинок,Вдов,Одинок,,
P000520,58,вдов,Вдов,,,
P000524,58,холост,Холост,,,
P000525,59,вдов,Вдов,,,
P000526,59,холост,Холост,,,
P000527,59,холост,Холост,,,
P000528,59,женат на родине,Женат на родине,,,
P000529,59,женат на родине,Женат на родине,,,
P000530,59,женат на родине,Женат на родине,,,
P000533,59,женат на родине,Женат на родине,,,
P000534,59,женат на родине,Женат на родине,,,
P000535,59,вдов,Вдов,,,
P000536,59,женат на родине,Женат на родине,,,
P000537,59,холост. одинок,Холост,Одинок,,
P000538,59,холост,Холост,,,
P000539,59,вдов,Вдов,,,
P000540,59,женат на родине,Женат на родине,,,
P000541,60,женат на родине,Женат на родине,,,
P000542,60,женат на родине,Женат на родине,,Жена живет у Карауловских,Жена живет у Карауловских
P000543,60,женат на родине,Женат на родине,,,
P000544,60,вдов,Вдов,,,
P000545,60,женат на родине,Женат на родине,,,
P000546,60,женат на родине,Женат на родине,,,
P000548,60,женат на родине. одинок,Женат на родине,Одинок,,
P000549,60,вдов. одинок,Вдов,Одинок,,
P000550,60,женат на родине,Женат на родине,,,
P000551,60,женат на родине,Женат на родине,,,
P000552,60,женат на Сахалине,Женат на Сахалине,,,
P000554,60,женат на Сахалине,Женат на Сахалине,,,
P000555,60,женат на Сахалине,Женат на Сахалине,,,
P000556,60,женат на Сахалине,Женат на Сахалине,,,
P000558,61,женат в другом месте,Женат в другом регионе,,женат в Сибири,Женат в Сибири
P000559,61,женат в другом месте,Женат в другом регионе,,женат в Сибири,Женат в Сибири
P000560,61,вдов,Вдов,,,
P000561,61,женат на родине,Женат на родине,,,
P000562,61,женат на родине,Женат на родине,,,
P000564,61,холост. одинок,Холост,Одинок,31,31
P000565,61,холост. одинок,Холост,Одинок,42,42
P000566,61,женат на родине. одинок,Женат на родине,Одинок,53,53
P000567,61,женат на Сахалине,Женат на Сахалине,,4-я Касьянская улица. В Николаевске,4-я Касьянская улица. В Николаевске
P000568,61,женат на Сахалине,Женат на Сахалине,,,
P000570,61,женат на родине,Женат на родине,,,
P000571,61,женат на родине,Женат на родине,,4-я Касьяновская,4-я Касьяновская
P000573,62,женат на Сахалине,Женат на Сахалине,,4-я Касьяновская,4-я Касьяновская
P000574,62,женат на Сахалине,Женат на Сахалине,,,
P000576,62,женат на родине. одинок,Женат на родине,Одинок,,
P000577,62,холост. одинок,Холост,Одинок,,
P000578,62,холост. одинок,Холост,Одинок,,
P000579,62,женат на родине,Женат на родине,,,
P000580,62,женат на родине,Женат на родине,,,
P000581,62,холост,Холост,,,
P000582,62,вдов,Вдов,,Муж умер на Сахалине,Муж умер на Сахалине
P000584,62,женат на родине,Женат на родине,,,
P000585,62,холост,Холост,,,
P000586,62,женат на родине,Женат на родине,,Жена живет у Мыльникова,Жена живет у Мыльникова
P000587,62,холост,Холост,,,
P000588,62,холост,Холост,,,
P000589,63,женат на родине,Женат на родине,,,
P000591,63,женат на родине. одинок,Женат на родине,Одинок,,
P000592,63,вдов,Вдов,,,
P000595,63,холост. одинок,Холост,Одинок,,
P000596,63,холост,Холост,,,
P000597,63,женат на родине. одинок,Женат на родине,Одинок,,
P000598,63,холост,Холост,,,
P000599,63,вдов,Вдов,,,
P000601,63,холост,Холост,,Ташкент,Ташкент
P000602,63,женат на родине,Женат на родине,,5 -я Касьяновская,5 -я Касьяновская
P000603,63,женат на родине,Женат на родине,,,
P000605,64,женат на родине,Женат на родине,,,
P000606,64,женат на родине,Женат на родине,,,
P000607,64,женат на родине,Женат на родине,,5-я Касьяновская. Новочеркасская область,5-я Касьяновская. Новочеркасская область
P000608,64,вдов,Вдов,,,
P000609,64,женат на родине,Женат на родине,,5-я Касьяновская. В Николаевске,5-я Касьяновская. В Николаевске
P000610,64,женат на родине,Женат на родине,,,
P000611,64,холост. одинок,Холост,Одинок,Ташкентская область,Ташкентская область
P000612,64,женат на Сахалине,Женат на Сахалине,,,
P000613,64,женат на Сахалине,Женат на Сахалине,,,
P000617,64,холост. одинок,Холост,Одинок,5-я Касьяновская,5-я Касьяновская
P000618,64,женат на родине,Женат на родине,,,
P000619,64,женат на родине,Женат на родине,,"5-я Касьяновская. У нее семья из 5 человек. Если она живет не в своем доме, то она, быть может, уже записана","5-я Касьяновская. У нее семья из 5 человек. Если она живет не в своем доме, то она, быть может, уже записана"
P000621,65,вдов. одинок,Вдов,Одинок,,
P000623,65,холост. одинок,Холост,Одинок,,
P000624,65,холост. одинок,Холост,Одинок,,
P000625,65,вдов. одинок,Вдов,Одинок,5 Касьяновская,5 Касьяновская
P000626,65,холост. одинок,Холост,Одинок,5 Касьяновская,5 Касьяновская
P000627,65,женат на родине,Женат на родине,,5-я Касьяновская,5-я Касьяновская
P000628,65,женат на родине,Женат на родине,,И дочь,И дочь
P000630,65,женат на родине. одинок,Женат на родине,Одинок,,
P000631,65,холост,Холост,,5-я Касьяновская,5-я Касьяновская
P000632,65,вдов,Вдов,,,
P000633,65,женат на родине,Женат на родине,,,
P000634,65,женат на родине,Женат на родине,,,
P000636,66,холост. одинока,Холост,Одинок,,
P000638,66,женат на родине,Женат на родине,,,
P000639,66,женат на родине,Женат на родине,,,
P000640,66,холост,Холост,,5‑я Касьяновская. Жена и жильцы,5‑я Касьяновская. Жена и жильцы
P000641,66,женат на родине,Женат на родине,,,
P000642,66,холост. одинок,Холост,Одинок,,
P000643,66,женат на родине,Женат на родине,,,
P000644,66,женат на родине,Женат на родине,,"5-я Касьяновская. Муж, дочь и жильцы","5-я Касьяновская. Муж, дочь и жильцы"
P000648,66,женат на родине,Женат на родине,,,
P000649,66,женат на родине,Женат на родине,,"5-я Касьяновская. Муж, дочь и жильцы","5-я Касьяновская. Муж, дочь и жильцы"
P000650,66,холост,Холост,,,
P000651,66,женат на родине,Женат на родине,,,
P000652,67,женат на родине,Женат на родине,,,
P000654,67,женат на родине,Женат на родине,,,
P000655,67,женат на родине,Женат на родине,,,
P000657,67,холост,Холост,,6-я Касьяновская. Сожительница и жильцы,6-я Касьяновская. Сожительница и жильцы
P000658,67,женат на родине,Женат на родине,,,
P000659,67,холост,Холост,,6-я Касьяновская. Cожительница,6-я Касьяновская. Cожительница
P000660,67,женат на родине,Женат на родине,,,
P000661,67,вдов. одинок,Вдов,Одинок,6-я Касьяновская,6-я Касьяновская
P000664,67,холост,Холост,,,
P000667,67,холост. одинок,Холост,Одинок,,
P000669,68,холост. одинок,Холост,Одинок,6-я Касьяновская,6-я Касьяновская
P000670,68,женат на родине,Женат на родине,,6-я Касьяновская. Жена и дочь,6-я Касьяновская. Жена и дочь
P000671,68,женат на родине,Женат на родине,,,
P000674,68,вдов,Вдов,,6-я Касьяновская. Сожитель,6-я Касьяновская. Сожитель
P000675,68,вдов,Вдов,,,
P000676,68,холост. одинок,Холост,Одинок,6-я Касьяновская,6-я Касьяновская
P000677,68,женат на родине,Женат на родине,,,
P000678,68,женат на родине,Женат на родине,,6-я Касьяновская,6-я Касьяновская
P000679,68,женат на родине,Женат на родине,,,
P000680,68,женат на родине,Женат на родине,,6-я Касьяновская. Муж и жилец,6-я Касьяновская. Муж и жилец
P000681,68,холост. одинок,Холост,Одинок,,
P000682,68,женат на родине,Женат на родине,,,
P000684,69,женат на родине,Женат на родине,,,
P000685,69,женат на родине,Женат на родине,,,
P000686,69,женат на родине,Женат на родине,,,
P000687,69,женат на родине,Женат на родине,,,
P000689,69,женат на родине,Женат на родине,,,
P000690,69,женат на родине,Женат на родине,,6-я Касьяновская. Муж и сын,6-я Касьяновская. Муж и сын
P000694,69,холост. одинок,Холост,Одинок,,
P000695,69,женат на родине. одинок,Женат на родине,Одинок,7-я Касьяновская. В Николаевском и дом не отстроенный,7-я Касьяновская. В Николаевском и дом не отстроенный
P000696,69,женат на родине,Женат на родине,,7-я Касьяновская. Жена и сын,7-я Касьяновская. Жена и сын
P000697,69,женат на родине,Женат на родине,,,
P000700,70,холост. одинок,Холост,Одинок,,
P000701,70,вдов,Вдов,,,
P000702,70,вдов,Вдов,,,
P000703,70,вдов,Вдов,,,
P000704,70,женат на Сахалине,Женат на Сахалине,,,
P000705,70,женат на Сахалине,Женат на Сахалине,,,
P000706,70,вдов,Вдов,,,
P000707,70,женат на Сахалине,Женат на Сахалине,,,
P000708,70,женат на Сахалине,Женат на Сахалине,,,
P000710,70,женат на родине. одинок,Женат на родине,Одинок,,
P000711,70,холост,Холост,,,
P000712,70,женат на родине,Женат на родине,,,
P000713,70,холост,Холост,,,
P000714,70,холост,Холост,,,
P000715,70,женат на родине,Женат на родине,,,
P000716,71,женат на родине,Женат на родине,,,
P000717,71,вдов,Вдов,,,
P000718,71,холост,Холост,,,
P000720,71,холост. одинок,Холост,Одинок,,
