person_id,page_number,marriage_status,marriage_status_norm,living_alone_status,comments_before,comments_after
P002861,202,холост,Холост,,,
P002862,202,женат на родине,Женат на родине,,,
P002863,202,женат на родине,Женат на родине,,,
P002864,202,женат на родине,Женат на родине,,,
P002865,202,женат на родине,Женат на родине,,,
P002866,202,женат на родине,Женат на родине,,,
P002867,202,вдов,Вдов,,,
P002868,203,холост,Холост,,,
P002869,203,холост,Холост,,,
P002870,203,вдов,Вдов,,,
P002871,203,женат на родине,Женат на родине,,,
P002872,203,женат на родине,Женат на родине,,,
P002873,203,женат на родине,Женат на родине,,,
P002874,203,женат на родине,Женат на родине,,,
P002878,203,женат на родине,Женат на родине,,,
P002879,203,вдов,Вдов,,,
P002882,203,женат на родине,Женат на родине,,,
P002883,203,холост,Холост,,,
P002884,203,женат на родине,Женат на родине,,,
P002885,223,холост,Холост,,,
P002886,223,холост,Холост,,2; выкрест,2; выкрест
P002887,223,холост,Холост,,3,3
P002888,223,вдов,Вдов,,4,4
P002889,223,холост,Холост,,5,5
P002890,223,женат на родине,Женат на родине,,6,6
P002891,223,холост,Холост,,7,7
P002892,223,вдов,Вдов,,8,8
P002893,223,холост,Холост,,9,9
P002894,223,вдов,Вдов,,10,10
P002895,223,холост,Холост,,11,11
P002896,223,холост,Холост,,12,12
P002897,223,холост,Холост,,13,13
P002898,224,холост,Холост,,14,14
P002899,224,холост,Холост,,15,15
P002900,224,вдов,Вдов,,16,16
