sex,age,children
Female,0,98
Male,0,106
Female,1,101
Male,1,118
Female,2,104
Male,2,111
Female,3,87
Male,3,79
Female,4,62
Male,4,65
Female,5,50
Male,5,56
Female,6,48
Male,6,36
Female,7,30
Male,7,34
Female,8,21
Male,8,33
Female,9,23
Male,9,23
Female,10,27
Male,10,25
Female,11,25
Male,11,14
Female,12,19
Male,12,15
Female,13,14
Male,13,8
Female,14,9
Male,14,15
Female,15,8
Male,15,3
Female,16,23
Male,16,20
Female,17,18
Male,17,17
