arrival_year,people
1865,2
1866,2
1867,2
1868,3
1869,47
1870,27
1871,8
1872,11
1873,9
1874,23
1875,135
1876,157
1877,87
1878,105
1879,282
1880,232
1881,167
1882,277
1883,327
1884,348
1885,220
1886,166
1887,140
1888,68
1889,115
1890,6
