arrival_year,people
1865,2
1866,2
1867,3
1868,3
1869,47
1870,32
1871,9
1872,14
1873,11
1874,27
1875,145
1876,175
1877,95
1878,120
1879,326
1880,270
1881,203
1882,320
1883,429
1884,548
1885,474
1886,489
1887,464
1888,264
1889,336
1890,18
