person_id,source_position_id,page_number,district,settlement,allowance_status,arrival_year,age,legal_status_norm,family_status_norm,marriage_status_norm,occupation_norm,comments,notes_raw
P000656,1-02-111-0561,67,Александровский,Пост Александровский,TRUE,,4,Сын каторжного,Сын,,,,РГБ № 4048
P000665,1-02-118-0570,67,Александровский,Пост Александровский,TRUE,,6,Дочь поселки,Незаконнорожденная дочь,,,167,РГБ № 4323
P000666,1-02-118-0571,67,Александровский,Пост Александровский,TRUE,,4,Дочь поселки,Незаконнорожденная дочь,,,168,РГБ № 5385
P000723,1-02-147-0628,71,Александровский,Пост Александровский,TRUE,,3,Сын поселки,Незаконнорожденный сын,,,165,РГБ № 4572
P000745,1-02-152-0650,72,Александровский,Пост Александровский,TRUE,,4,Сын поселенца,Сын,,,,РГБ № 4046
P000762,1-02-156-0667,73,Александровский,Пост Александровский,TRUE,,1,Сын ссыльнокаторжного,Сын,,,,РГБ № 4951
P000775,1-02-159-0680,74,Александровский,Пост Александровский,TRUE,,1,Дочь ссыльнокаторжной,Незаконнорожденная дочь,,,163,РГБ № 5537
P000776,1-02-159-0681,74,Александровский,Пост Александровский,TRUE,,40,Ссыльнокаторжный,Жилец,Женат на родине,Слесарь,Жена и 2 ребят,РГБ № 495
P000796,1-02-163-0701,75,Александровский,Пост Александровский,TRUE,,2,Сын ссыльнокаторжного,Сын,,,,РГБ № 4613
P000797,1-02-163-0702,75,Александровский,Пост Александровский,TRUE,,2,Сын ссыльнокаторжного,Сын,,,,РГБ № 4614
P000806,1-02-165-0711,76,Александровский,Пост Александровский,TRUE,,2,Дочь поселки,Незаконнорожденная дочь,,,189,РГБ № 5720
P000807,1-02-165-0712,76,Александровский,Пост Александровский,TRUE,,1,Сын поселки,Незаконнорожденный сын,,,168,РГБ № 4871
P000827,1-02-169-0732,77,Александровский,Пост Александровский,TRUE,,45,Поселенец,Жилец,Женат на Сахалине,Писарь,,РГБ № 537
P000830,1-02-169-0735,78,Александровский,Пост Александровский,TRUE,,35,Отставной рядовой,Жилец,Холост,Старший надзиратель,,РГБ № 535
P000871,1-02-178-0776,80,Александровский,Пост Александровский,TRUE,,4,Сын ссыльнокаторжной,Незаконнорожденный сын,,,158,РГБ № 5353
P000875,1-02-179-0780,80,Александровский,Пост Александровский,TRUE,,9,Сын поселенца,Сын,,,,РГБ № 4926
P000876,1-02-179-0781,80,Александровский,Пост Александровский,TRUE,,2,Дочь поселенца,Дочь,,,,РГБ № 5788
P000907,1-02-186-0812,82,Александровский,Пост Александровский,TRUE,,7,Дочь поселки,Незаконнорожденная дочь,,,155,РГБ № 4394
P000908,1-02-186-0813,82,Александровский,Пост Александровский,TRUE,,2,Дочь поселки,Незаконнорожденная дочь,,,156,РГБ № 5719
P000930,1-02-191-0835,84,Александровский,Пост Александровский,TRUE,,3,Дочь ссыльнокаторжной,Незаконнорожденная дочь,,,151,РГБ № 5243
P000931,1-02-191-0836,84,Александровский,Пост Александровский,TRUE,,1,Сын ссыльнокаторжной,Незаконнорожденный сын,,,152,РГБ № 4870
