person_id,source_position_id,page_number,district,settlement,allowance_status,arrival_year,age,legal_status_norm,family_status_norm,marriage_status_norm,occupation_norm,comments,notes_raw,review_decision,review_note
P002172,1-05-023-0033,160,Александровский,Красный Яр,TRUE,1878,42,Поселенец,Хозяин,Женат на родине,Земледелие,40,РГБ № 1957,,
P002180,1-05-029-0041,161,Александровский,Красный Яр,TRUE,1879,36,Поселенец,Хозяин,Женат на родине,Земледелие,48,РГБ № 1964,,
P002203,1-05-041-0064,162,Александровский,Красный Яр,TRUE,1879,40,Поселенец,Хозяин,Женат на родине,,71,РГБ № 1982,,
P002217,1-05-049-0078,163,Александровский,Красный Яр,TRUE,1879,39,Поселенец,Хозяин,Холост,Земледелие,85,РГБ № 1994,,
P002219,1-05-049-0080,163,Александровский,Красный Яр,TRUE,1879,14,Сын поселки,Незаконнорожденный сын,,,350 87,РГБ № 5478,,
P002614,1-18-002-0004,187,Александровский,Пост Дуэ,TRUE,1873,38,Запасной рядовой,Хозяин,Холост,Старший надзиратель,,РГАЛИ № 37,,
P002646,1-18-009-0036,189,Александровский,Пост Дуэ,TRUE,1876,44,Ссыльнокаторжная,Жена,Женат на Сахалине,,,РГАЛИ № 60,,
P002658,1-18-012-0048,190,Александровский,Пост Дуэ,TRUE,1874,49,Ссыльнокаторжный,Сожитель,Холост,Каменный уголь,,РГАЛИ № 69,,
P002663,1-18-012-0053,190,Александровский,Пост Дуэ,TRUE,1878,49,Ссыльнокаторжный,Жилец,Холост,Каменный уголь,,РГАЛИ № 71,,
P002737,1-18-033-0127,195,Александровский,Пост Дуэ,TRUE,1879,46,Ссыльнокаторжный,Жилец,Холост,,,РГАЛИ № 169,,
P002868,1-18-000-0258,203,Александровский,Пост Дуэ,TRUE,1879,35,Ссыльнокаторжный,,Холост,Стекольщик,,РГАЛИ № 27,,
P002891,2-19-004-0007,223,Тымовский,Верхний Армудан,TRUE,1879,32,Крестьянин из ссыльных,Хозяин,Холост,Младший надзиратель,7,РГБ № 2719,,
P002910,2-19-011-0026,224,Тымовский,Верхний Армудан,TRUE,1878,32,Запасной рядовой,Жилец,Холост,Старший надзиратель,2,РГБ № 2735,,
P002918,2-19-013-0034,225,Тымовский,Верхний Армудан,TRUE,1879,40,Поселенец,Хозяин,,,35,РГБ № 2741,,
P002943,2-19-023-0059,226,Тымовский,Верхний Армудан,TRUE,1879,41,Поселенец,Хозяин,Женат на родине,,62,РГБ № 2765,,
P002980,2-19-039-0096,228,Тымовский,Верхний Армудан,TRUE,1879,62,Поселенец,Хозяин,Женат на родине,,В лазарете,РГБ № 2797,,
P003178,2-21-010-0025,240,Тымовский,Дербинское,TRUE,1876,51,Поселенец,Хозяин,Женат на родине,,,РГБ № 2078,,
P003179,2-21-010-0026,240,Тымовский,Дербинское,TRUE,1876,50,Поселенец,Совладелец,Женат на родине,,,РГБ № 2079,,
P003180,2-21-011-0027,240,Тымовский,Дербинское,TRUE,1876,51,Поселенец,Хозяин,Холост,,,РГБ № 2080,,
P003194,2-21-031-0041,240,Тымовский,Дербинское,TRUE,1878,33,Ссыльнокаторжная,Сожительница,Вдов,,,РГБ № 2094,,
P003292,2-21-086-0139,246,Тымовский,Дербинское,TRUE,1871,39,Поселенец,Совладелец,Вдов,,,РГБ № 2166,,
P003348,2-21-105-0195,250,Тымовский,Дербинское,TRUE,1876,40,Ссыльнокаторжная,Сожительница,Вдов,,,РГБ № 2206,,
P004272,2-24-059-0236,299,Тымовский,Рыковское,TRUE,1878,34,Запасной ефрейтор,Жилец,Женат на Сахалине,Старший надзиратель,3,РГБ № 1217,,
P004273,2-24-059-0237,299,Тымовский,Рыковское,TRUE,1879,28,Крестьянка из ссыльных,Жена,Женат на Сахалине,,253,РГБ № 1218,,
P004350,2-24-073-0314,304,Тымовский,Рыковское,TRUE,1879,44,Ссыльнокаторжный,Жилец,Холост,,333,РГБ № 1250,,
P004379,2-24-079-0343,305,Тымовский,Рыковское,TRUE,1878,39,Ссыльнокаторжная,Сожительница,Вдов,,363,РГБ № 1271,,
P004543,2-24-135-0507,314,Тымовский,Рыковское,TRUE,1879,36,Поселенец,Хозяин,Женат на Сахалине,,539,РГБ № 1372,,
P004621,2-24-165-0585,319,Тымовский,Рыковское,TRUE,1877,27,Ссыльнокаторжный,Хозяин,Холост,,624,РГБ № 1432,,
P004623,2-24-166-0587,319,Тымовский,Рыковское,TRUE,1875,37,Ссыльнокаторжная,Сожительница,Вдов,,626,РГБ № 1434,,
P004686,2-24-184-0650,322,Тымовский,Рыковское,TRUE,1877,49,Крестьянин из ссыльных,Хозяин,Холост,,692,РГБ № 1475,,
P004827,2-24-225-0791,330,Тымовский,Рыковское,TRUE,1879,38,Ссыльнокаторжная,Сожительница,Вдов,,854,РГБ № 1570,,
P004845,2-24-230-0809,331,Тымовский,Рыковское,TRUE,1876,50,Поселенец,Хозяин,Женат на родине,,872,РГБ № 1585,,
P004846,2-24-230-0810,331,Тымовский,Рыковское,TRUE,1876,41,Свободного состояния,Жена,Женат на родине,,873,РГБ № 1586,,
P004849,2-24-230-0813,331,Тымовский,Рыковское,TRUE,1876,11,Дочь поселенца,Дочь,,,875,РГБ № 4939,,
P004882,2-24-238-0846,333,Тымовский,Рыковское,TRUE,1879,39,Поселенец,Совладелец,Женат на родине,,911,РГБ № 1609,,
P004954,2-24-256-0918,337,Тымовский,Рыковское,TRUE,1879,63,Поселенец,Жилец,Вдов,,983,РГБ № 1655,,
