person_id,changed_field_count,changed_fields
P000120,3,living_alone_status; marriage_status_norm; origin_place_norm
P000121,3,living_alone_status; marriage_status_norm; origin_place_norm
P000122,2,marriage_status_norm; origin_place_norm
P000123,2,marriage_status_norm; origin_place_norm
P000124,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000125,3,marriage_status_norm; occupation_norm; origin_place_norm
P000126,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000127,2,marriage_status_norm; origin_place_norm
P000128,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000129,4,age; marriage_status_norm; occupation_norm; origin_place_norm
P000130,2,marriage_status_norm; origin_place_norm
P000131,3,marriage_status_norm; occupation_norm; origin_place_norm
P000132,3,marriage_status_norm; occupation_norm; origin_place_norm
P000133,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000134,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000135,4,comments; living_alone_status; marriage_status_norm; occupation_norm
P000136,3,marriage_status_norm; occupation_norm; origin_place_norm
P000137,3,living_alone_status; marriage_status_norm; origin_place_norm
P000138,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000139,3,living_alone_status; marriage_status_norm; origin_place_norm
P000140,3,marriage_status_norm; occupation_norm; origin_place_norm
P000141,3,living_alone_status; marriage_status_norm; origin_place_norm
P000142,2,marriage_status_norm; origin_place_norm
P000143,3,living_alone_status; marriage_status_norm; origin_place_norm
P000144,3,marriage_status_norm; occupation_norm; origin_place_norm
P000145,2,marriage_status_norm; origin_place_norm
P000146,3,marriage_status_norm; occupation_norm; origin_place_norm
P000147,2,age_months; origin_place_norm
P000148,3,marriage_status_norm; occupation_norm; origin_place_norm
P000149,3,marriage_status_norm; occupation_norm; origin_place_norm
P000150,2,marriage_status_norm; origin_place_norm
P000151,2,comments; origin_place_norm
P000152,2,comments; origin_place_norm
P000153,2,comments; origin_place_norm
P000154,3,living_alone_status; marriage_status_norm; origin_place_norm
P000155,3,marriage_status_norm; occupation_norm; origin_place_norm
P000156,2,marriage_status_norm; origin_place_norm
P000157,1,origin_place_norm
P000158,1,origin_place_norm
P000159,1,origin_place_norm
P000160,1,origin_place_norm
P000161,2,age_months; origin_place_norm
P000162,2,marriage_status_norm; origin_place_norm
P000163,3,living_alone_status; marriage_status_norm; origin_place_norm
P000164,2,marriage_status_norm; origin_place_norm
P000165,3,living_alone_status; marriage_status_norm; origin_place_norm
P000166,2,marriage_status_norm; origin_place_norm
P000167,2,marriage_status_norm; origin_place_norm
P000168,2,marriage_status_norm; origin_place_norm
P000169,3,marriage_status_norm; occupation_norm; origin_place_norm
P000170,2,marriage_status_norm; origin_place_norm
P000171,3,living_alone_status; marriage_status_norm; origin_place_norm
P000172,3,marriage_status_norm; occupation_norm; origin_place_norm
P000173,2,marriage_status_norm; origin_place_norm
P000174,2,comments; origin_place_norm
P000175,3,age_months; comments; origin_place_norm
P000176,3,age_months; comments; origin_place_norm
P000177,2,marriage_status_norm; origin_place_norm
P000178,2,marriage_status_norm; origin_place_norm
P000179,2,marriage_status_norm; origin_place_norm
P000180,1,origin_place_norm
P000181,1,origin_place_norm
P000182,1,origin_place_norm
P000183,1,origin_place_norm
P000184,2,marriage_status_norm; origin_place_norm
P000185,1,origin_place_norm
P000186,3,age_months; comments; origin_place_norm
P000187,2,marriage_status_norm; origin_place_norm
P000188,1,origin_place_norm
P000189,3,marriage_status_norm; occupation_norm; origin_place_norm
P000190,3,marriage_status_norm; occupation_norm; origin_place_norm
P000191,3,comments; marriage_status_norm; origin_place_norm
P000192,2,marriage_status_norm; origin_place_norm
P000193,2,marriage_status_norm; origin_place_norm
P000194,2,marriage_status_norm; origin_place_norm
P000195,2,marriage_status_norm; origin_place_norm
P000196,1,origin_place_norm
P000197,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000198,3,living_alone_status; marriage_status_norm; origin_place_norm
P000199,3,marriage_status_norm; occupation_norm; origin_place_norm
P000200,3,marriage_status_norm; occupation_norm; origin_place_norm
P000201,2,marriage_status_norm; origin_place_norm
P000202,2,marriage_status_norm; origin_place_norm
P000203,2,marriage_status_norm; origin_place_norm
P000204,2,marriage_status_norm; origin_place_norm
P000205,3,age_months; comments; origin_place_norm
P000206,2,marriage_status_norm; origin_place_norm
P000207,2,marriage_status_norm; origin_place_norm
P000208,2,comments; origin_place_norm
P000209,2,marriage_status_norm; origin_place_norm
P000210,2,marriage_status_norm; origin_place_norm
P000211,2,marriage_status_norm; origin_place_norm
P000212,2,marriage_status_norm; origin_place_norm
P000213,3,living_alone_status; marriage_status_norm; origin_place_norm
P000214,2,marriage_status_norm; origin_place_norm
P000215,2,comments; origin_place_norm
P000216,1,origin_place_norm
P000217,1,origin_place_norm
P000218,2,age_months; origin_place_norm
P000219,3,marriage_status_norm; occupation_norm; origin_place_norm
P000220,2,marriage_status_norm; origin_place_norm
P000221,3,marriage_status_norm; occupation_norm; origin_place_norm
P000222,3,marriage_status_norm; occupation_norm; origin_place_norm
P000223,3,marriage_status_norm; occupation_norm; origin_place_norm
P000224,2,marriage_status_norm; origin_place_norm
P000225,1,origin_place_norm
P000226,1,origin_place_norm
P000227,1,origin_place_norm
P000228,2,marriage_status_norm; origin_place_norm
P000229,3,living_alone_status; marriage_status_norm; origin_place_norm
P000230,3,marriage_status_norm; occupation_norm; origin_place_norm
P000231,3,marriage_status_norm; occupation_norm; origin_place_norm
P000232,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000233,3,marriage_status_norm; occupation_norm; origin_place_norm
P000234,2,marriage_status_norm; origin_place_norm
P000235,1,origin_place_norm
P000236,1,origin_place_norm
P000237,1,origin_place_norm
P000238,1,origin_place_norm
P000239,3,marriage_status_norm; occupation_norm; origin_place_norm
P000240,2,marriage_status_norm; origin_place_norm
P000241,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000242,2,marriage_status_norm; origin_place_norm
P000243,2,marriage_status_norm; origin_place_norm
P000244,2,marriage_status_norm; origin_place_norm
P000245,3,age_months; comments; origin_place_norm
P000246,2,marriage_status_norm; origin_place_norm
P000247,2,marriage_status_norm; origin_place_norm
P000248,3,marriage_status_norm; occupation_norm; origin_place_norm
P000249,2,marriage_status_norm; origin_place_norm
P000250,2,marriage_status_norm; occupation_norm
P000251,3,marriage_status_norm; occupation_norm; origin_place_norm
P000252,4,comments; marriage_status_norm; occupation_norm; origin_place_norm
P000253,2,marriage_status_norm; origin_place_norm
P000254,3,marriage_status_norm; occupation_norm; origin_place_norm
P000255,2,marriage_status_norm; origin_place_norm
P000256,3,marriage_status_norm; occupation_norm; origin_place_norm
P000257,2,marriage_status_norm; origin_place_norm
P000258,2,comments; origin_place_norm
P000259,3,age_months; comments; origin_place_norm
P000260,3,age_months; comments; origin_place_norm
P000261,2,marriage_status_norm; origin_place_norm
P000262,1,origin_place_norm
P000263,3,marriage_status_norm; occupation_norm; origin_place_norm
P000264,2,marriage_status_norm; origin_place_norm
P000265,2,age_months; origin_place_norm
P000266,2,marriage_status_norm; origin_place_norm
P000267,2,marriage_status_norm; origin_place_norm
P000268,3,age_months; comments; origin_place_norm
P000269,3,marriage_status_norm; occupation_norm; origin_place_norm
P000270,2,marriage_status_norm; origin_place_norm
P000271,3,marriage_status_norm; occupation_norm; origin_place_norm
P000272,2,marriage_status_norm; origin_place_norm
P000273,3,marriage_status_norm; occupation_norm; origin_place_norm
P000274,2,marriage_status_norm; origin_place_norm
P000275,3,marriage_status_norm; occupation_norm; origin_place_norm
P000276,2,marriage_status_norm; origin_place_norm
P000277,3,living_alone_status; marriage_status_norm; origin_place_norm
P000278,2,marriage_status_norm; origin_place_norm
P000279,2,comments; origin_place_norm
P000280,2,marriage_status_norm; occupation_norm
P000281,2,marriage_status_norm; origin_place_norm
P000282,2,marriage_status_norm; origin_place_norm
P000283,1,origin_place_norm
P000284,1,origin_place_norm
P000285,1,origin_place_norm
P000286,3,marriage_status_norm; occupation_norm; origin_place_norm
P000287,3,marriage_status_norm; occupation_norm; origin_place_norm
P000288,3,marriage_status_norm; occupation_norm; origin_place_norm
P000289,2,marriage_status_norm; origin_place_norm
P000290,3,marriage_status_norm; occupation_norm; origin_place_norm
P000291,1,origin_place_norm
P000292,2,age_months; origin_place_norm
P000293,3,marriage_status_norm; occupation_norm; origin_place_norm
P000294,2,marriage_status_norm; occupation_norm
P000295,2,marriage_status_norm; origin_place_norm
P000296,2,marriage_status_norm; origin_place_norm
P000297,2,marriage_status_norm; origin_place_norm
P000298,2,marriage_status_norm; origin_place_norm
P000299,1,origin_place_norm
P000300,2,age_months; origin_place_norm
P000301,2,marriage_status_norm; origin_place_norm
P000302,2,marriage_status_norm; origin_place_norm
P000303,3,marriage_status_norm; occupation_norm; origin_place_norm
P000304,2,marriage_status_norm; origin_place_norm
P000305,2,marriage_status_norm; origin_place_norm
P000306,2,marriage_status_norm; origin_place_norm
P000307,2,marriage_status_norm; origin_place_norm
P000308,2,age_months; origin_place_norm
P000309,2,marriage_status_norm; origin_place_norm
P000310,2,marriage_status_norm; origin_place_norm
P000311,2,marriage_status_norm; origin_place_norm
P000312,2,comments; origin_place_norm
P000313,2,marriage_status_norm; origin_place_norm
P000314,2,marriage_status_norm; origin_place_norm
P000315,2,marriage_status_norm; origin_place_norm
P000316,2,marriage_status_norm; origin_place_norm
P000317,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000318,2,marriage_status_norm; origin_place_norm
P000319,4,age; marriage_status_norm; occupation_norm; origin_place_norm
P000320,2,marriage_status_norm; origin_place_norm
P000321,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000322,3,marriage_status_norm; occupation_norm; origin_place_norm
P000323,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000324,3,marriage_status_norm; occupation_norm; origin_place_norm
P000325,3,marriage_status_norm; occupation_norm; origin_place_norm
P000326,2,marriage_status_norm; origin_place_norm
P000327,2,comments; origin_place_norm
P000328,2,marriage_status_norm; origin_place_norm
P000329,2,marriage_status_norm; origin_place_norm
P000330,3,age_months; comments; origin_place_norm
P000331,2,marriage_status_norm; origin_place_norm
P000332,2,marriage_status_norm; origin_place_norm
P000333,3,age_months; comments; origin_place_norm
P000334,3,marriage_status_norm; occupation_norm; origin_place_norm
P000335,3,age_months; comments; origin_place_norm
P000336,3,marriage_status_norm; occupation_norm; origin_place_norm
P000337,3,marriage_status_norm; occupation_norm; origin_place_norm
P000338,3,marriage_status_norm; occupation_norm; origin_place_norm
P000339,3,marriage_status_norm; occupation_norm; origin_place_norm
P000340,2,marriage_status_norm; origin_place_norm
P000341,3,age_months; comments; origin_place_norm
P000342,3,marriage_status_norm; occupation_norm; origin_place_norm
P000343,2,marriage_status_norm; origin_place_norm
P000344,2,age_months; origin_place_norm
P000345,3,age_months; comments; origin_place_norm
P000346,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000347,3,marriage_status_norm; occupation_norm; origin_place_norm
P000348,2,marriage_status_norm; origin_place_norm
P000349,3,age_months; comments; origin_place_norm
P000350,2,marriage_status_norm; origin_place_norm
P000351,2,marriage_status_norm; origin_place_norm
P000352,3,marriage_status_norm; occupation_norm; origin_place_norm
P000353,2,marriage_status_norm; origin_place_norm
P000354,2,marriage_status_norm; origin_place_norm
P000355,2,marriage_status_norm; origin_place_norm
P000356,3,marriage_status_norm; occupation_norm; origin_place_norm
P000357,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000358,3,marriage_status_norm; occupation_norm; origin_place_norm
P000359,2,marriage_status_norm; origin_place_norm
P000360,3,marriage_status_norm; occupation_norm; origin_place_norm
P000361,3,marriage_status_norm; occupation_norm; origin_place_norm
P000362,3,marriage_status_norm; occupation_norm; origin_place_norm
P000363,2,marriage_status_norm; origin_place_norm
P000364,2,comments; origin_place_norm
P000365,2,comments; origin_place_norm
P000366,3,age_months; comments; origin_place_norm
P000367,2,marriage_status_norm; origin_place_norm
P000368,3,marriage_status_norm; occupation_norm; origin_place_norm
P000369,2,marriage_status_norm; origin_place_norm
P000370,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000371,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000372,3,marriage_status_norm; occupation_norm; origin_place_norm
P000373,3,marriage_status_norm; occupation_norm; origin_place_norm
P000374,2,marriage_status_norm; origin_place_norm
P000375,3,marriage_status_norm; occupation_norm; origin_place_norm
P000376,3,marriage_status_norm; occupation_norm; origin_place_norm
P000377,2,marriage_status_norm; origin_place_norm
P000378,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000379,3,marriage_status_norm; occupation_norm; origin_place_norm
P000380,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000381,3,marriage_status_norm; occupation_norm; origin_place_norm
P000382,2,marriage_status_norm; origin_place_norm
P000383,2,comments; origin_place_norm
P000384,3,marriage_status_norm; occupation_norm; origin_place_norm
P000385,2,marriage_status_norm; origin_place_norm
P000386,2,comments; origin_place_norm
P000387,2,comments; origin_place_norm
P000388,3,marriage_status_norm; occupation_norm; origin_place_norm
P000389,2,marriage_status_norm; origin_place_norm
P000390,3,age_months; comments; origin_place_norm
P000391,3,age_months; comments; origin_place_norm
P000392,2,marriage_status_norm; occupation_norm
P000393,3,marriage_status_norm; occupation_norm; origin_place_norm
P000394,2,marriage_status_norm; origin_place_norm
P000395,2,comments; origin_place_norm
P000396,2,comments; origin_place_norm
P000397,2,comments; origin_place_norm
P000398,3,age_months; comments; origin_place_norm
P000399,3,marriage_status_norm; occupation_norm; origin_place_norm
P000400,3,marriage_status_norm; occupation_norm; origin_place_norm
P000401,3,marriage_status_norm; occupation_norm; origin_place_norm
P000402,3,marriage_status_norm; occupation_norm; origin_place_norm
P000403,3,marriage_status_norm; occupation_norm; origin_place_norm
P000404,2,marriage_status_norm; origin_place_norm
P000405,4,comments; marriage_status_norm; occupation_norm; origin_place_norm
P000406,2,marriage_status_norm; origin_place_norm
P000407,2,comments; origin_place_norm
P000408,2,comments; origin_place_norm
P000409,3,marriage_status_norm; occupation_norm; origin_place_norm
P000410,2,marriage_status_norm; origin_place_norm
P000411,2,occupation_norm; origin_place_norm
P000412,1,origin_place_norm
P000413,2,marriage_status_norm; origin_place_norm
P000414,3,marriage_status_norm; occupation_norm; origin_place_norm
P000415,2,marriage_status_norm; occupation_norm
P000416,3,marriage_status_norm; occupation_norm; origin_place_norm
P000417,3,marriage_status_norm; occupation_norm; origin_place_norm
P000418,2,marriage_status_norm; origin_place_norm
P000419,3,age_months; comments; origin_place_norm
P000420,2,marriage_status_norm; origin_place_norm
P000421,3,marriage_status_norm; occupation_norm; origin_place_norm
P000422,2,marriage_status_norm; origin_place_norm
P000423,3,marriage_status_norm; occupation_norm; origin_place_norm
P000424,2,marriage_status_norm; origin_place_norm
P000425,3,living_alone_status; marriage_status_norm; origin_place_norm
P000426,3,marriage_status_norm; occupation_norm; origin_place_norm
P000427,3,living_alone_status; marriage_status_norm; origin_place_norm
P000428,4,comments; marriage_status_norm; occupation_norm; origin_place_norm
P000429,3,marriage_status_norm; occupation_norm; origin_place_norm
P000430,2,marriage_status_norm; origin_place_norm
P000431,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000432,3,marriage_status_norm; occupation_norm; origin_place_norm
P000433,2,marriage_status_norm; origin_place_norm
P000434,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000435,3,marriage_status_norm; occupation_norm; origin_place_norm
P000436,2,marriage_status_norm; origin_place_norm
P000437,3,marriage_status_norm; occupation_norm; origin_place_norm
P000438,2,marriage_status_norm; origin_place_norm
P000439,3,marriage_status_norm; occupation_norm; origin_place_norm
P000440,2,marriage_status_norm; origin_place_norm
P000441,3,marriage_status_norm; occupation_norm; origin_place_norm
P000442,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000443,3,marriage_status_norm; occupation_norm; origin_place_norm
P000444,2,marriage_status_norm; origin_place_norm
P000445,1,occupation_norm
P000446,3,marriage_status_norm; occupation_norm; origin_place_norm
P000447,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000448,2,marriage_status_norm; origin_place_norm
P000449,2,marriage_status_norm; origin_place_norm
P000450,1,origin_place_norm
P000452,1,origin_place_norm
P000453,2,age_months; origin_place_norm
P000454,3,marriage_status_norm; occupation_norm; origin_place_norm
P000455,2,marriage_status_norm; origin_place_norm
P000456,3,marriage_status_norm; occupation_norm; origin_place_norm
P000457,2,marriage_status_norm; origin_place_norm
P000458,4,comments; marriage_status_norm; occupation_norm; origin_place_norm
P000459,2,marriage_status_norm; origin_place_norm
P000460,2,marriage_status_norm; origin_place_norm
P000461,2,age_months; origin_place_norm
P000462,3,marriage_status_norm; occupation_norm; origin_place_norm
P000463,2,marriage_status_norm; origin_place_norm
P000465,1,origin_place_norm
P000466,2,age_months; origin_place_norm
P000467,3,marriage_status_norm; occupation_norm; origin_place_norm
P000468,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000469,3,marriage_status_norm; occupation_norm; origin_place_norm
P000470,2,marriage_status_norm; origin_place_norm
P000471,3,age_months; comments; origin_place_norm
P000472,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000473,3,marriage_status_norm; occupation_norm; origin_place_norm
P000474,2,marriage_status_norm; origin_place_norm
P000475,1,origin_place_norm
P000476,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000477,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000478,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000479,3,marriage_status_norm; occupation_norm; origin_place_norm
P000480,2,marriage_status_norm; origin_place_norm
P000481,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000482,3,marriage_status_norm; occupation_norm; origin_place_norm
P000483,3,marriage_status_norm; occupation_norm; origin_place_norm
P000484,2,marriage_status_norm; origin_place_norm
P000485,3,marriage_status_norm; occupation_norm; origin_place_norm
P000486,2,marriage_status_norm; origin_place_norm
P000487,3,marriage_status_norm; occupation_norm; origin_place_norm
P000488,2,marriage_status_norm; origin_place_norm
P000489,2,comments; origin_place_norm
P000490,2,comments; origin_place_norm
P000491,3,age_months; comments; origin_place_norm
P000492,2,marriage_status_norm; origin_place_norm
P000493,3,marriage_status_norm; occupation_norm; origin_place_norm
P000494,3,marriage_status_norm; occupation_norm; origin_place_norm
P000495,2,marriage_status_norm; origin_place_norm
P000496,3,age_months; comments; origin_place_norm
P000497,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000498,3,marriage_status_norm; occupation_norm; origin_place_norm
P000499,2,marriage_status_norm; origin_place_norm
P000500,2,marriage_status_norm; origin_place_norm
P000501,3,marriage_status_norm; occupation_norm; origin_place_norm
P000502,3,marriage_status_norm; occupation_norm; origin_place_norm
P000503,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000504,3,marriage_status_norm; occupation_norm; origin_place_norm
P000505,3,marriage_status_norm; occupation_norm; origin_place_norm
P000506,2,marriage_status_norm; origin_place_norm
P000507,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000508,3,marriage_status_norm; occupation_norm; origin_place_norm
P000509,3,marriage_status_norm; occupation_norm; origin_place_norm
P000510,3,living_alone_status; marriage_status_norm; origin_place_norm
P000511,3,marriage_status_norm; occupation_norm; origin_place_norm
P000512,2,marriage_status_norm; origin_place_norm
P000513,2,marriage_status_norm; origin_place_norm
P000514,3,marriage_status_norm; occupation_norm; origin_place_norm
